Index,Pitch,Yaw,Roll,AngleAmout,duration
0,8,0,0,243,5
1,-7,0,0,241,5
2,1,0,0,279,5
3,-4,0,0,-256,5
4,5,0,0,-272,5
5,-2,0,0,251,5
6,7,0,0,-266,5
7,-3,0,0,254,5
8,2,0,0,236,5
9,-1,0,0,-266,5
10,4,0,0,256,5
11,-5,0,0,278,5
12,7,0,0,0,4
13,0,2,0,243,5
14,0,-9,0,241,5
15,0,5,0,279,5
16,0,-7,0,-256,5
17,0,7,0,-272,5
18,0,-2,0,251,5
19,0,8,0,-266,5
20,0,-6,0,254,5
21,0,2,0,236,5
22,0,-1,0,-266,5
23,0,2,0,256,5
24,0,-3,0,278,5
25,8,5,5,0,4
26,0,0,-2,243,5
27,0,0,10,241,5
28,0,0,-3,279,5
29,0,0,1,-256,5
30,0,0,-5,-272,5
31,0,0,2,251,5
32,0,0,-8,-266,5
33,0,0,6,254,5
34,0,0,-1,236,5
35,0,0,2,-266,5
36,0,0,-3,256,5
37,0,0,4,278,5
38,-8,9,0,0,4
39,-6,1,0,243,5
40,-8,3,0,241,5
41,-5,-9,0,279,5
42,-4,3,0,-256,5
43,6,-9,0,-272,5
44,-9,6,0,251,5
45,-10,-2,0,-266,5
46,-7,-4,0,254,5
47,4,-6,0,236,5
48,-2,-1,0,-266,5
49,-3,-10,0,256,5
50,1,-3,0,278,5
51,-5,-10,-6,0,4
52,4,0,9,243,5
53,1,0,3,241,5
54,5,0,-7,279,5
55,-1,0,5,-256,5
56,6,0,-3,-272,5
57,7,0,5,251,5
58,-6,0,-3,-266,5
59,3,0,-9,254,5
60,-5,0,-7,236,5
61,-3,0,5,-266,5
62,2,0,6,256,5
63,-7,0,-5,278,5
64,-7,4,8,0,4
65,0,-8,2,243,5
66,0,2,2,241,5
67,0,-8,1,279,5
68,0,5,9,-256,5
69,0,4,-7,-272,5
70,0,7,9,251,5
71,0,1,8,-266,5
72,0,3,-3,254,5
73,0,8,-8,236,5
74,0,-4,8,-266,5
75,0,-2,9,256,5
76,0,4,2,278,5
