Index,Pitch,Yaw,Roll,AngleAmout,duration
0,0,0,0,243,5
1,0,0,0,241,5
2,0,0,0,279,5
3,0,0,0,-256,5
4,0,0,0,-272,5
5,0,0,0,251,5
6,0,0,0,-266,5
7,0,0,0,254,5
8,0,0,0,236,5
9,0,0,0,-266,5
10,0,0,0,256,5
11,0,0,0,278,5
12,0,0,0,0,4
13,0,0,0,243,5
14,0,0,0,241,5
15,0,0,0,279,5
16,0,0,0,-256,5
17,0,0,0,-272,5
18,0,0,0,251,5
19,0,0,0,-266,5
20,0,0,0,254,5
21,0,0,0,236,5
22,0,0,0,-266,5
23,0,0,0,256,5
24,0,0,0,278,5
25,0,0,0,0,4
26,0,0,0,243,5
27,0,0,0,241,5
28,0,0,0,279,5
29,0,0,0,-256,5
30,0,0,0,-272,5
31,0,0,0,251,5
32,0,0,0,-266,5
33,0,0,0,254,5
34,0,0,0,236,5
35,0,0,0,-266,5
36,0,0,0,256,5
37,0,0,0,278,5
38,0,0,0,0,4
39,0,0,0,243,5
40,0,0,0,241,5
41,0,0,0,279,5
42,0,0,0,-256,5
43,0,0,0,-272,5
44,0,0,0,251,5
45,0,0,0,-266,5
46,0,0,0,254,5
47,0,0,0,236,5
48,0,0,0,-266,5
49,0,0,0,256,5
50,0,0,0,278,5
51,0,0,0,0,4
52,0,0,0,243,5
53,0,0,0,241,5
54,0,0,0,279,5
55,0,0,0,-256,5
56,0,0,0,-272,5
57,0,0,0,251,5
58,0,0,0,-266,5
59,0,0,0,254,5
60,0,0,0,236,5
61,0,0,0,-266,5
62,0,0,0,256,5
63,0,0,0,278,5
64,0,0,0,0,4
65,0,0,0,243,5
66,0,0,0,241,5
67,0,0,0,279,5
68,0,0,0,-256,5
69,0,0,0,-272,5
70,0,0,0,251,5
71,0,0,0,-266,5
72,0,0,0,254,5
73,0,0,0,236,5
74,0,0,0,-266,5
75,0,0,0,256,5
76,0,0,0,278,5
77,0,0,0,0,4
78,0,0,0,243,5
79,0,0,0,241,5
80,0,0,0,279,5
81,0,0,0,-256,5
82,0,0,0,-272,5
83,0,0,0,251,5
84,0,0,0,-266,5
85,0,0,0,254,5
86,0,0,0,236,5
87,0,0,0,-266,5
88,0,0,0,256,5
89,0,0,0,278,5
90,0,0,0,0,4
91,0,0,0,243,5
92,0,0,0,241,5
93,0,0,0,279,5
94,0,0,0,-256,5
95,0,0,0,-272,5
96,0,0,0,251,5
97,0,0,0,-266,5
98,0,0,0,254,5
99,0,0,0,236,5
100,0,0,0,-266,5
101,0,0,0,256,5
102,0,0,0,278,5
103,0,0,0,0,4
104,0,0,0,243,5
105,0,0,0,241,5
106,0,0,0,279,5
107,0,0,0,-256,5
108,0,0,0,-272,5
109,0,0,0,251,5
110,0,0,0,-266,5
111,0,0,0,254,5
112,0,0,0,236,5
113,0,0,0,-266,5
114,0,0,0,256,5
115,0,0,0,278,5
116,0,0,0,0,4
117,0,0,0,243,5
118,0,0,0,241,5
119,0,0,0,279,5
120,0,0,0,-256,5
121,0,0,0,-272,5
122,0,0,0,251,5
123,0,0,0,-266,5
124,0,0,0,254,5
125,0,0,0,236,5
126,0,0,0,-266,5
127,0,0,0,256,5
128,0,0,0,278,5
129,0,0,0,0,4
130,0,0,0,243,5
131,0,0,0,241,5
132,0,0,0,279,5
133,0,0,0,-256,5
134,0,0,0,-272,5
135,0,0,0,251,5
136,0,0,0,-266,5
137,0,0,0,254,5
138,0,0,0,236,5
139,0,0,0,-266,5
140,0,0,0,256,5
141,0,0,0,278,5
142,0,0,0,0,4
143,0,0,0,243,5
144,0,0,0,241,5
145,0,0,0,279,5
146,0,0,0,-256,5
147,0,0,0,-272,5
148,0,0,0,251,5
149,0,0,0,-266,5
150,0,0,0,254,5
151,0,0,0,236,5
152,0,0,0,-266,5
153,0,0,0,256,5
154,0,0,0,278,5
155,0,0,0,0,4
156,0,0,0,243,5
157,0,0,0,241,5
158,0,0,0,279,5
159,0,0,0,-256,5
160,0,0,0,-272,5
161,0,0,0,251,5
162,0,0,0,-266,5
163,0,0,0,254,5
164,0,0,0,236,5
165,0,0,0,-266,5
166,0,0,0,256,5
167,0,0,0,278,5
168,0,0,0,0,4
169,0,0,0,243,5
170,0,0,0,241,5
171,0,0,0,279,5
172,0,0,0,-256,5
173,0,0,0,-272,5
174,0,0,0,251,5
175,0,0,0,-266,5
176,0,0,0,254,5
177,0,0,0,236,5
178,0,0,0,-266,5
179,0,0,0,256,5
180,0,0,0,278,5
181,0,0,0,0,4
182,0,0,0,243,5
183,0,0,0,241,5
184,0,0,0,279,5
185,0,0,0,-256,5
186,0,0,0,-272,5
187,0,0,0,251,5
188,0,0,0,-266,5
189,0,0,0,254,5
190,0,0,0,236,5
191,0,0,0,-266,5
192,0,0,0,256,5
193,0,0,0,278,5
194,0,0,0,0,4
195,0,0,0,243,5
196,0,0,0,241,5
197,0,0,0,279,5
198,0,0,0,-256,5
199,0,0,0,-272,5
200,0,0,0,251,5
201,0,0,0,-266,5
202,0,0,0,254,5
203,0,0,0,236,5
204,0,0,0,-266,5
205,0,0,0,256,5
206,0,0,0,278,5
207,0,0,0,0,4
208,0,0,0,243,5
209,0,0,0,241,5
210,0,0,0,279,5
211,0,0,0,-256,5
212,0,0,0,-272,5
213,0,0,0,251,5
214,0,0,0,-266,5
215,0,0,0,254,5
216,0,0,0,236,5
217,0,0,0,-266,5
218,0,0,0,256,5
219,0,0,0,278,5
220,0,0,0,0,4
221,0,0,0,243,5
222,0,0,0,241,5
223,0,0,0,279,5
224,0,0,0,-256,5
225,0,0,0,-272,5
226,0,0,0,251,5
227,0,0,0,-266,5
228,0,0,0,254,5
229,0,0,0,236,5
230,0,0,0,-266,5
231,0,0,0,256,5
232,0,0,0,278,5
233,0,0,0,0,4
234,0,0,0,243,5
235,0,0,0,241,5
