Index,Pitch,Yaw,Roll,AngleAmout,duration
0,0,5,0,244,5
1,0,-7,0,-256,5
2,0,7,0,-246,5
3,0,-3,0,237,5
4,0,8,0,265,5
5,0,-10,0,-245,5
6,0,6,0,-258,5
7,0,-5,0,-241,5
8,0,1,0,-232,5
9,0,-3,0,240,5
10,0,4,0,252,5
11,0,-6,0,-250,5
12,0,3,0,0,4
13,0,-1,0,244,5
14,0,9,0,-256,5
15,0,-5,0,-246,5
16,0,10,0,237,5
17,0,-8,0,265,5
18,0,10,0,-245,5
19,0,-8,0,-258,5
20,0,8,0,-241,5
21,0,-8,0,-232,5
22,0,3,0,240,5
23,0,-8,0,252,5
24,0,5,0,-250,5
25,0,-7,0,0,4
26,0,10,0,244,5
27,0,-3,0,-256,5
28,0,10,0,-246,5
29,0,-10,0,237,5
30,0,8,0,265,5
31,0,-3,0,-245,5
32,0,4,0,-258,5
33,0,-2,0,-241,5
34,0,3,0,-232,5
35,0,-8,0,240,5
36,0,3,0,252,5
37,0,-8,0,-250,5
38,0,3,0,0,4
39,0,-8,0,244,5
40,0,1,0,-256,5
41,0,-1,0,-246,5
42,0,3,0,237,5
43,0,-8,0,265,5
44,0,8,0,-245,5
45,0,-5,0,-258,5
46,0,6,0,-241,5
47,0,-8,0,-232,5
48,0,9,0,240,5
49,0,-6,0,252,5
50,0,6,0,-250,5
51,0,-9,0,0,4
52,0,8,0,244,5
53,0,-3,0,-256,5
54,0,5,0,-246,5
55,0,-1,0,237,5
56,0,6,0,265,5
57,0,-9,0,-245,5
58,0,2,0,-258,5
59,0,-3,0,-241,5
60,0,6,0,-232,5
61,0,-8,0,240,5
62,0,5,0,252,5
63,0,-9,0,-250,5
64,0,2,0,0,4
65,0,-1,0,244,5
66,0,6,0,-256,5
67,0,-9,0,-246,5
68,0,2,0,237,5
69,0,-7,0,265,5
70,0,7,0,-245,5
71,0,-7,0,-258,5
72,0,4,0,-241,5
73,0,-9,0,-232,5
74,0,10,0,240,5
75,0,-7,0,252,5
76,0,7,0,-250,5
77,0,-8,0,0,4
78,0,4,0,244,5
79,0,-2,0,-256,5
80,0,9,0,-246,5
81,0,-9,0,237,5
82,0,7,0,265,5
83,0,-10,0,-245,5
84,0,5,0,-258,5
85,0,-4,0,-241,5
86,0,4,0,-232,5
87,0,-1,0,240,5
88,0,1,0,252,5
89,0,-4,0,-250,5
90,0,7,0,0,4
91,0,-10,0,244,5
92,0,1,0,-256,5
93,0,-9,0,-246,5
94,0,5,0,237,5
95,0,-8,0,265,5
96,0,5,0,-245,5
97,0,-1,0,-258,5
98,0,4,0,-241,5
99,0,-6,0,-232,5
100,0,5,0,240,5
101,0,-3,0,252,5
102,0,1,0,-250,5
103,0,-10,0,0,4
104,0,9,0,244,5
105,0,-3,0,-256,5
106,0,8,0,-246,5
107,0,-5,0,237,5
108,0,5,0,265,5
109,0,-10,0,-245,5
110,0,4,0,-258,5
111,0,-9,0,-241,5
112,0,10,0,-232,5
113,0,-9,0,240,5
114,0,3,0,252,5
115,0,-8,0,-250,5
116,0,1,0,0,4
117,0,-10,0,244,5
118,0,1,0,-256,5
119,0,-7,0,-246,5
120,0,4,0,237,5
121,0,-2,0,265,5
122,0,6,0,-245,5
123,0,-6,0,-258,5
124,0,5,0,-241,5
125,0,-1,0,-232,5
126,0,6,0,240,5
127,0,-9,0,252,5
128,0,10,0,-250,5
129,0,-1,0,0,4
130,0,5,0,244,5
131,0,-3,0,-256,5
132,0,1,0,-246,5
133,0,-6,0,237,5
134,0,2,0,265,5
