Index,Pitch,Yaw,Roll,AngleAmout,duration
0,-6,1,0,243,5
1,-8,3,0,241,5
2,-5,-9,0,279,5
3,-4,3,0,-256,5
4,6,-9,0,-272,5
5,-9,6,0,251,5
6,-10,-2,0,-266,5
7,-7,-4,0,254,5
8,0,-6,0,236,5
9,-2,-1,0,-266,5
10,-3,-10,0,256,5
11,1,-10,0,278,5
12,-8,4,0,0,4
13,-5,3,0,243,5
14,5,6,0,241,5
15,-6,-7,0,279,5
16,-5,-8,0,-256,5
17,-6,-10,0,-272,5
18,4,2,0,251,5
19,-3,-2,0,-266,5
20,-1,9,0,254,5
21,6,-7,0,236,5
22,1,4,0,-266,5
23,-2,4,0,256,5
24,0,3,0,278,5
25,7,-10,0,0,4
26,-7,-10,0,243,5
27,-1,-5,0,241,5
28,-5,-6,0,279,5
29,6,1,0,-256,5
30,4,-2,0,-272,5
31,6,8,0,251,5
32,6,7,0,-266,5
33,-4,7,0,254,5
34,-5,2,0,236,5
35,2,2,0,-266,5
36,-6,7,0,256,5
37,-5,-6,0,278,5
38,-3,6,0,0,4
39,1,1,0,243,5
40,7,-5,0,241,5
41,0,-1,0,279,5
42,4,-8,0,-256,5
43,6,-7,0,-272,5
44,0,7,0,251,5
45,6,0,0,-266,5
46,-2,9,0,254,5
47,2,9,0,236,5
48,7,-6,0,-266,5
49,-9,-8,0,256,5
50,-6,-3,0,278,5
51,-2,-7,0,0,4
52,7,7,0,243,5
53,-3,-9,0,241,5
54,-9,6,0,279,5
55,4,-7,0,-256,5
56,2,2,0,-272,5
57,0,1,0,251,5
58,-5,-2,0,-266,5
59,0,-9,0,254,5
60,0,-10,0,236,5
61,-9,1,0,-266,5
62,-6,4,0,256,5
63,3,4,0,278,5
64,-10,0,0,0,4
65,-2,1,0,243,5
66,-8,5,0,241,5
67,9,-7,0,279,5
68,-9,2,0,-256,5
69,-3,-5,0,-272,5
70,0,-8,0,251,5
71,7,-4,0,-266,5
72,5,-8,0,254,5
73,-4,7,0,236,5
74,-3,-2,0,-266,5
75,-2,9,0,256,5
76,7,6,0,278,5
77,-5,8,0,0,4
78,-9,4,0,243,5
79,-10,9,0,241,5
80,1,-3,0,279,5
81,-2,9,0,-256,5
82,-7,4,0,-272,5
83,-10,0,0,251,5
84,-1,6,0,-266,5
85,9,-6,0,254,5
86,7,-2,0,236,5
87,-6,6,0,-266,5
88,-6,1,0,256,5
89,8,-5,0,278,5
90,-9,-7,0,0,4
91,-1,-9,0,243,5
92,8,-7,0,241,5
93,-3,7,0,279,5
94,1,5,0,-256,5
95,1,-4,0,-272,5
