Index,Pitch,Yaw,Roll,AngleAmout,duration
0,0,-8,2,243,5
1,0,2,2,241,5
2,0,-8,1,279,5
3,0,5,9,-256,5
4,0,4,-7,-272,5
5,0,7,9,251,5
6,0,9,8,-266,5
7,0,3,-3,254,5
8,0,8,-8,236,5
9,0,-4,8,-266,5
10,0,-2,9,256,5
11,0,4,0,278,5
12,0,6,-7,0,4
13,0,7,-6,243,5
14,0,-4,2,241,5
15,0,8,-1,279,5
16,0,4,8,-256,5
17,0,-1,3,-272,5
18,0,7,6,251,5
19,0,-5,-9,-266,5
20,0,-6,-3,254,5
21,0,-4,1,236,5
22,0,2,4,-266,5
23,0,6,8,256,5
24,0,-6,-6,278,5
25,0,-1,5,0,4
26,0,8,-6,243,5
27,0,5,2,241,5
28,0,-9,3,279,5
29,0,-10,1,-256,5
30,0,5,-6,-272,5
31,0,-10,1,251,5
32,0,-3,-3,-266,5
33,0,-4,3,254,5
34,0,-7,1,236,5
35,0,3,-4,-266,5
36,0,0,-2,256,5
37,0,-2,-5,278,5
38,0,7,0,0,4
39,0,9,3,243,5
40,0,9,-8,241,5
41,0,-1,1,279,5
42,0,-3,-10,-256,5
43,0,7,4,-272,5
44,0,0,7,251,5
45,0,3,-7,-266,5
46,0,6,9,254,5
47,0,-9,1,236,5
48,0,0,3,-266,5
49,0,0,0,256,5
50,0,-5,-3,278,5
51,0,8,-3,0,4
52,0,4,0,243,5
53,0,-9,2,241,5
54,0,2,2,279,5
55,0,1,-9,-256,5
56,0,-7,-3,-272,5
57,0,-3,9,251,5
58,0,7,7,-266,5
59,0,-6,-5,254,5
60,0,2,-2,236,5
61,0,-5,6,-266,5
62,0,9,7,256,5
63,0,1,9,278,5
64,0,8,0,0,4
65,0,7,-7,243,5
66,0,-1,-1,241,5
67,0,-10,-7,279,5
68,0,-6,7,-256,5
69,0,0,6,-272,5
70,0,-3,3,251,5
71,0,3,6,-266,5
72,0,0,1,254,5
73,0,-10,-5,236,5
74,0,-10,1,-266,5
75,0,-4,-6,256,5
76,0,6,7,278,5
77,0,-7,7,0,4
78,0,3,-9,243,5
79,0,-4,1,241,5
80,0,-10,-10,279,5
81,0,3,3,-256,5
82,0,-1,-8,-272,5
83,0,-7,4,251,5
84,0,8,-4,-266,5
85,0,-5,-1,254,5
86,0,6,0,236,5
87,0,3,0,-266,5
88,0,2,-6,256,5
89,0,4,-7,278,5
90,0,-9,3,0,4
91,0,-8,5,243,5
92,0,3,-9,241,5
93,0,-6,-8,279,5
94,0,-10,6,-256,5
95,0,-8,2,-272,5
96,0,2,5,251,5
97,0,2,-7,-266,5
98,0,-3,-10,254,5
99,0,7,-7,236,5
100,0,-10,-7,-266,5
101,0,-3,-7,256,5
102,0,-3,9,278,5
103,0,-1,0,0,4
104,0,-5,0,243,5
105,0,-3,-2,241,5
106,0,-9,5,279,5
107,0,-3,1,-256,5
108,0,-4,7,-272,5
109,0,4,-1,251,5
110,0,-1,-4,-266,5
111,0,5,3,254,5
112,0,0,0,236,5
113,0,4,2,-266,5
114,0,6,-3,256,5
115,0,-6,3,278,5
116,0,-5,-7,0,4
117,0,-3,-1,243,5
118,0,2,3,241,5
119,0,-8,-7,279,5
120,0,7,-8,-256,5
121,0,-6,7,-272,5
122,0,-9,4,251,5
123,0,9,-1,-266,5
124,0,-7,-4,254,5
125,0,-7,-3,236,5
126,0,-4,-4,-266,5
127,0,9,8,256,5
128,0,-5,7,278,5
129,0,2,5,0,4
130,0,0,-2,243,5
131,0,-8,-9,241,5
132,0,4,-7,279,5
133,0,7,7,-256,5
134,0,3,-4,-272,5
135,0,-5,-6,251,5
136,0,5,-6,-266,5
137,0,-10,9,254,5
138,0,-7,1,236,5
139,0,-3,-6,-266,5
140,0,0,4,256,5
141,0,3,7,278,5
142,0,6,6,0,4
143,0,6,-7,243,5
144,0,-10,6,241,5
145,0,9,2,279,5
146,0,-8,-10,-256,5
147,0,3,3,-272,5
148,0,7,6,251,5
149,0,-2,-10,-266,5
150,0,-4,2,254,5
151,0,9,7,236,5
152,0,0,-8,-266,5
153,0,-1,-2,256,5
154,0,-2,1,278,5
155,0,3,-6,0,4
156,0,6,7,243,5
157,0,0,-5,241,5
158,0,-2,6,279,5
159,0,2,8,-256,5
160,0,4,-1,-272,5
161,0,-9,-8,251,5
162,0,-6,6,-266,5
163,0,-9,-8,254,5
164,0,1,-4,236,5
165,0,9,0,-266,5
166,0,5,-3,256,5
167,0,-4,-1,278,5
168,0,-4,5,0,4
169,0,-10,7,243,5
170,0,-5,-7,241,5
171,0,-4,1,279,5
172,0,8,-10,-256,5
173,0,-3,7,-272,5
174,0,-6,5,251,5
175,0,7,3,-266,5
176,0,-4,9,254,5
177,0,8,-6,236,5
178,0,-4,2,-266,5
179,0,-8,9,256,5
180,0,-1,2,278,5
181,0,7,-10,0,4
182,0,6,-8,243,5
183,0,5,7,241,5
184,0,1,2,279,5
185,0,-6,4,-256,5
186,0,3,-5,-272,5
187,0,2,-2,251,5
188,0,-5,-1,-266,5
189,0,2,4,254,5
190,0,3,8,236,5
191,0,-7,-10,-266,5
192,0,8,-10,256,5
193,0,-8,-9,278,5
194,0,5,3,0,4
195,0,-9,4,243,5
196,0,-3,-6,241,5
197,0,-8,9,279,5
198,0,2,5,-256,5
199,0,5,6,-272,5
200,0,-9,0,251,5
201,0,0,4,-266,5
202,0,1,-10,254,5
203,0,-1,-3,236,5
204,0,8,-9,-266,5
205,0,-8,-1,256,5
206,0,6,-3,278,5
207,0,8,-5,0,4
208,0,-7,-5,243,5
209,0,-8,-1,241,5
210,0,2,3,279,5
211,0,-8,-4,-256,5
212,0,6,0,-272,5
213,0,-7,-9,251,5
214,0,-6,-9,-266,5
215,0,-2,5,254,5
216,0,-6,1,236,5
217,0,-6,6,-266,5
218,0,0,6,256,5
219,0,6,5,278,5
220,0,-1,-6,0,4
221,0,5,-8,243,5
222,0,6,7,241,5
223,0,3,-7,279,5
224,0,-1,-3,-256,5
225,0,9,8,-272,5
226,0,6,1,251,5
227,0,2,-4,-266,5
228,0,-8,8,254,5
229,0,-2,1,236,5
230,0,-6,-6,-266,5
231,0,5,0,256,5
232,0,-2,-9,278,5
233,0,-3,1,0,4
234,0,2,7,243,5
235,0,-3,-8,241,5
236,0,-10,-9,279,5
237,0,-7,-10,-256,5
238,0,-2,-4,-272,5
239,0,-2,8,251,5
240,0,-4,-4,-266,5
241,0,9,3,254,5
242,0,-4,-2,236,5
243,0,-8,-3,-266,5
244,0,-2,3,256,5
245,0,5,2,278,5
246,0,9,-1,0,4
247,0,6,0,243,5
248,0,2,-9,241,5
249,0,9,-10,279,5
250,0,-10,-8,-256,5
251,0,3,-5,-272,5
252,0,5,1,251,5
253,0,5,0,-266,5
254,0,-5,-7,254,5
255,0,4,1,236,5
256,0,3,-8,-266,5
257,0,5,-7,256,5
258,0,3,7,278,5
259,0,-1,3,0,4
